#Station Long Name,Turner at Barry Drive
#Station Number,570813
#Station Location Latitude,-35.26752778
#Station Location Longitude,149.12294444
#Parameter Type Name,Rainfall
#Timeseries Name,PR00QaQc.Merged.AsStored.1
#Unit Name,millimeter
#DATA_OWNER_NAME,"ACT - Environment, Planning and Sustainable Development Directorate"
#Rows,17696
#Timestamp,Value,Quality Code,Interpolation Type
2020-11-28T14:36:15.000+10:00,0.2,10,201
2020-11-28T14:37:45.000+10:00,0.2,10,201
2020-11-28T14:38:30.000+10:00,0.4,140,201
2020-11-28T14:40:00.000+10:00,0.2,140,201
2020-11-28T14:41:30.000+10:00,0.2,140,201
2020-11-28T14:56:15.000+10:00,0.0,10,201
2020-11-28T15:00:00.000+10:00,0.0,140,201
2020-11-28T15:56:15.000+10:00,0.0,10,201
2020-11-28T16:00:00.000+10:00,0.0,140,201
2020-11-28T16:56:15.000+10:00,0.0,10,201
2020-11-28T17:00:00.000+10:00,0.0,140,201
2020-11-28T17:56:15.000+10:00,0.0,10,201
2020-11-28T18:00:00.000+10:00,0.0,140,201
2020-11-28T18:56:16.000+10:00,0.0,10,201
2020-11-28T19:00:00.000+10:00,0.0,140,201
2020-11-28T19:04:16.000+10:00,0.2,10,201
2020-11-28T19:08:00.000+10:00,0.2,140,201
2020-11-28T19:56:16.000+10:00,0.0,10,201
2020-11-28T20:00:00.000+10:00,0.0,140,201
2020-11-28T20:37:01.000+10:00,0.2,10,201
2020-11-28T20:40:45.000+10:00,0.2,140,201
2020-11-28T20:56:16.000+10:00,0.0,10,201
2020-11-28T21:00:00.000+10:00,0.0,140,201
2020-11-28T21:56:16.000+10:00,0.0,10,201
2020-11-28T22:00:00.000+10:00,0.0,140,201
2020-11-28T22:56:16.000+10:00,0.0,10,201
2020-11-28T23:00:00.000+10:00,0.0,140,201
2020-11-28T23:56:16.000+10:00,0.0,10,201
2020-11-29T00:00:00.000+10:00,0.0,140,201
2020-11-29T00:56:16.000+10:00,0.0,10,201
2020-11-29T00:59:31.000+10:00,0.4,10,201
2020-11-29T01:00:00.000+10:00,0.0,140,201
2020-11-29T01:03:15.000+10:00,0.4,140,201
2020-11-29T01:56:16.000+10:00,0.0,10,201
2020-11-29T02:00:00.000+10:00,0.0,140,201
2020-11-29T02:18:17.000+10:00,0.2,10,201
2020-11-29T02:19:32.000+10:00,0.2,10,201
2020-11-29T02:22:00.000+10:00,0.2,140,201
2020-11-29T02:23:15.000+10:00,0.2,140,201
2020-11-29T02:56:17.000+10:00,0.0,10,201
2020-11-29T03:00:00.000+10:00,0.0,140,201
2020-11-29T03:56:17.000+10:00,0.0,10,201
2020-11-29T04:00:00.000+10:00,0.0,140,201
2020-11-29T04:56:17.000+10:00,0.0,10,201
2020-11-29T05:00:00.000+10:00,0.0,140,201
2020-11-29T05:56:17.000+10:00,0.0,10,201
2020-11-29T06:00:00.000+10:00,0.0,140,201
2020-11-29T06:56:17.000+10:00,0.0,10,201
2020-11-29T07:00:00.000+10:00,0.0,140,201
2020-11-29T07:56:17.000+10:00,0.0,10,201
2020-11-29T08:00:00.000+10:00,0.0,140,201
2020-11-29T08:43:32.000+10:00,0.2,10,201
2020-11-29T08:47:15.000+10:00,0.2,140,201
2020-11-29T08:56:17.000+10:00,0.0,10,201
2020-11-29T09:00:00.000+10:00,0.0,140,201
2020-11-29T09:56:17.000+10:00,0.0,10,201
2020-11-29T10:00:00.000+10:00,0.0,140,201
2020-11-29T10:56:18.000+10:00,0.0,10,201
2020-11-29T11:00:00.000+10:00,0.0,140,201
2020-11-29T11:56:18.000+10:00,0.0,10,201
2020-11-29T12:00:00.000+10:00,0.0,140,201
2020-11-29T12:56:18.000+10:00,0.0,10,201
2020-11-29T13:00:00.000+10:00,0.0,140,201
2020-11-29T13:56:18.000+10:00,0.0,10,201
2020-11-29T14:00:00.000+10:00,0.0,140,201
2020-11-29T14:56:18.000+10:00,0.0,10,201
2020-11-29T15:00:00.000+10:00,0.0,140,201
2020-11-29T15:56:18.000+10:00,0.0,10,201
2020-11-29T16:00:00.000+10:00,0.0,140,201
2020-11-29T16:56:18.000+10:00,0.0,10,201
2020-11-29T17:00:00.000+10:00,0.0,140,201
2020-11-29T17:56:18.000+10:00,0.0,10,201
2020-11-29T18:00:00.000+10:00,0.0,140,201
2020-11-29T18:56:19.000+10:00,0.0,10,201
2020-11-29T19:00:00.000+10:00,0.0,140,201
2020-11-29T19:56:19.000+10:00,0.0,10,201
2020-11-29T20:00:00.000+10:00,0.0,140,201
2020-11-29T20:56:19.000+10:00,0.0,10,201
2020-11-29T21:00:00.000+10:00,0.0,140,201
2020-11-29T21:56:19.000+10:00,0.0,10,201
2020-11-29T22:00:00.000+10:00,0.0,140,201
2020-11-29T22:56:19.000+10:00,0.0,10,201
2020-11-29T23:00:00.000+10:00,0.0,140,201
2020-11-29T23:56:19.000+10:00,0.0,10,201
2020-11-30T00:00:00.000+10:00,0.0,140,201
2020-11-30T00:56:19.000+10:00,0.0,10,201
2020-11-30T01:00:00.000+10:00,0.0,140,201
2020-11-30T01:56:19.000+10:00,0.0,10,201
2020-11-30T02:00:00.000+10:00,0.0,140,201
2020-11-30T02:56:20.000+10:00,0.0,10,201
2020-11-30T03:00:00.000+10:00,0.0,140,201
2020-11-30T03:56:20.000+10:00,0.0,10,201
2020-11-30T04:00:00.000+10:00,0.0,140,201
2020-11-30T04:56:20.000+10:00,0.0,10,201
2020-11-30T05:00:00.000+10:00,0.0,140,201
2020-11-30T05:56:20.000+10:00,0.0,10,201
2020-11-30T06:00:00.000+10:00,0.0,140,201
2020-11-30T06:56:20.000+10:00,0.0,10,201
2020-11-30T07:00:00.000+10:00,0.0,140,201
2020-11-30T07:56:20.000+10:00,0.0,10,201
2020-11-30T08:00:00.000+10:00,0.0,140,201
2020-11-30T08:56:20.000+10:00,0.0,10,201
2020-11-30T09:00:00.000+10:00,0.0,140,201
2020-11-30T09:56:20.000+10:00,0.0,10,201
2020-11-30T10:00:00.000+10:00,0.0,140,201
2020-11-30T10:56:21.000+10:00,0.0,10,201
2020-11-30T11:00:00.000+10:00,0.0,140,201
2020-11-30T11:56:21.000+10:00,0.0,10,201
2020-11-30T12:00:00.000+10:00,0.0,140,201
2020-11-30T12:56:21.000+10:00,0.0,10,201
2020-11-30T13:00:00.000+10:00,0.0,140,201
2020-11-30T13:56:21.000+10:00,0.0,10,201
2020-11-30T14:00:00.000+10:00,0.0,140,201
2020-11-30T14:56:21.000+10:00,0.0,10,201
2020-11-30T15:00:00.000+10:00,0.0,140,201
2020-11-30T15:56:21.000+10:00,0.0,10,201
2020-11-30T16:00:00.000+10:00,0.0,140,201
2020-11-30T16:56:21.000+10:00,0.0,10,201
2020-11-30T17:00:00.000+10:00,0.0,140,201
2020-11-30T17:56:21.000+10:00,0.0,10,201
2020-11-30T18:00:00.000+10:00,0.0,140,201
2020-11-30T18:56:22.000+10:00,0.0,10,201
2020-11-30T19:00:00.000+10:00,0.0,140,201
2020-11-30T19:56:22.000+10:00,0.0,10,201
2020-11-30T20:00:00.000+10:00,0.0,140,201
2020-11-30T20:56:22.000+10:00,0.0,10,201
2020-11-30T21:00:00.000+10:00,0.0,140,201
2020-11-30T21:56:22.000+10:00,0.0,10,201
2020-11-30T22:00:00.000+10:00,0.0,140,201
2020-11-30T22:56:22.000+10:00,0.0,10,201
2020-11-30T23:00:00.000+10:00,0.0,140,201
2020-11-30T23:56:22.000+10:00,0.0,10,201
2020-12-01T00:00:00.000+10:00,0.0,140,201
2020-12-01T00:56:22.000+10:00,0.0,10,201
2020-12-01T01:00:00.000+10:00,0.0,140,201
2020-12-01T01:56:22.000+10:00,0.0,10,201
2020-12-01T02:00:00.000+10:00,0.0,140,201
2020-12-01T02:56:23.000+10:00,0.0,10,201
2020-12-01T03:00:00.000+10:00,0.0,140,201
2020-12-01T03:56:23.000+10:00,0.0,10,201
2020-12-01T04:00:00.000+10:00,0.0,140,201
2020-12-01T04:56:23.000+10:00,0.0,10,201
2020-12-01T05:00:00.000+10:00,0.0,140,201
2020-12-01T05:56:23.000+10:00,0.0,10,201
2020-12-01T06:00:00.000+10:00,0.0,140,201
2020-12-01T06:56:23.000+10:00,0.0,10,201
2020-12-01T07:00:00.000+10:00,0.0,140,201
2020-12-01T07:56:23.000+10:00,0.0,10,201
2020-12-01T08:00:00.000+10:00,0.0,140,201
2020-12-01T08:56:23.000+10:00,0.0,10,201
2020-12-01T09:00:00.000+10:00,0.0,140,201
2020-12-01T09:56:23.000+10:00,0.0,10,201
2020-12-01T10:00:00.000+10:00,0.0,140,201
2020-12-01T10:56:24.000+10:00,0.0,10,201
2020-12-01T11:00:00.000+10:00,0.0,140,201
2020-12-01T11:56:24.000+10:00,0.0,10,201
2020-12-01T12:00:00.000+10:00,0.0,140,201
2020-12-01T12:56:24.000+10:00,0.0,10,201
2020-12-01T13:00:00.000+10:00,0.0,140,201
2020-12-01T13:56:24.000+10:00,0.0,10,201
2020-12-01T14:00:00.000+10:00,0.0,140,201
2020-12-01T14:56:24.000+10:00,0.0,10,201
